Country,Wealth,Health,Freedom,Generosity,x,y
Finland,1.844,0.695,0.859,0.142,1072,180
Denmark,1.908,0.699,0.823,0.204,945,240
Iceland,1.881,0.718,0.819,0.258,765,180
Sweden,1.878,0.724,0.838,0.221,982,172
Israel,1.803,0.74,0.641,0.153,1087.5,495
Netherlands,1.901,0.706,0.725,0.247,900,270
Norway,1.952,0.704,0.835,0.224,945,180
Luxembourg,2.141,0.708,0.801,0.146,907,300
Switzerland,1.97,0.747,0.759,0.173,945,345
Australia,1.854,0.692,0.756,0.225,1687.5,795
New Zealand,1.81,0.673,0.746,0.226,1800,900
Costa Rica,1.561,0.661,0.797,0.109,424.5,582
Kuwait,1.845,0.661,0.827,0.2,1170,495
Austria,1.885,0.696,0.703,0.214,975,337
Canada,1.84,0.701,0.73,0.23,390,255
Belgium,1.868,0.69,0.729,0.17,892,288
Ireland,2.129,0.7,0.758,0.205,817,255
Czechia,1.783,0.638,0.787,0.177,982,315
Lithuania,1.766,0.598,0.533,0.044,1050,285
United Kingdom,1.822,0.672,0.713,0.267,855,247
Slovenia,1.786,0.695,0.789,0.157,975,360
United Arab Emirates,1.983,0.563,0.815,0.209,1200,532.5
United States,1.939,0.542,0.586,0.223,390,420
Germany,1.871,0.702,0.7,0.174,952,300
Mexico,1.521,0.544,0.722,0.086,390,555
Uruguay,1.596,0.592,0.775,0.106,570,855
France,1.818,0.727,0.65,0.112,892,375
Saudi Arabia,1.842,0.511,0.787,0.114,1125,495
Kosovo,1.364,0.599,0.739,0.254,1020,390
Singapore,2.118,0.769,0.743,0.168,1515,690
Taiwan Province of China,1.842,0.65,0.649,0.068,1650,495
Romania,1.699,0.583,0.717,0.041,1065,375
El Salvador,1.265,0.549,0.816,0.083,411,577.5
Estonia,1.752,0.657,0.805,0.166,1072,232
Poland,1.738,0.639,0.6,0.081,1005,300
Spain,1.766,0.729,0.619,0.119,855,465
Serbia,1.538,0.585,0.663,0.2,1027,382
Chile,1.616,0.673,0.651,0.117,457.5,870
Panama,1.702,0.633,0.72,0.063,430.5,588
Malta,1.827,0.707,0.727,0.25,982,465
Italy,1.8,0.72,0.513,0.112,952,412
Guatemala,1.26,0.467,0.735,0.105,405,570
Nicaragua,1.097,0.542,0.793,0.133,424.5,577.5
Brazil,1.43,0.548,0.685,0.13,630,750
Slovakia,1.706,0.638,0.566,0.096,1027,337
Latvia,1.7,0.564,0.666,0.127,1072,255
Uzbekistan,1.212,0.539,0.835,0.251,1260,390
Argentina,1.562,0.585,0.681,0.087,525,840
Kazakhstan,1.622,0.556,0.733,0.149,1305,360
Cyprus,1.794,0.744,0.529,0.124,1070,465
Japan,1.786,0.785,0.632,0.023,1785,405
South Korea,1.815,0.77,0.555,0.126,1680,405
Philippines,1.232,0.441,0.826,0.099,1620,645
Vietnam,1.331,0.539,0.843,0.094,1545,615
Portugal,1.728,0.699,0.757,0.047,840,450
Hungary,1.722,0.596,0.581,0.123,1020,360
